TIME,CH1
4645.07813,55.890625
4665.07812,56.140625
4685.07812,56.21875
4705.07812,54.921875
4725.07812,52.578125
4745.07812,50.296875
4765.07812,48.46875
4785.07813,46.609375
4805.07812,44.453125
4825.07812,42.4375
4845.07812,40.6875
4865.07812,38.34375
4885.07813,34.875
4905.07812,31.203125
4925.07812,28.5
4945.07812,26.203125
4965.07812,23.03125
4985.07812,19.25
5005.07812,16.3125
5025.07813,14.21875
5045.07812,11.34375
5065.07812,7.015625
5085.07812,2.53125
5105.07812,-0.8125
5125.07813,-3.265625
5145.07812,-5.90625
5165.07812,-9.1875
5185.07812,-12.546875
5205.07812,-15.46875
5225.07812,-18.171875
5245.07812,-20.984375
5265.07813,-23.609375
5285.07812,-25.765625
5305.07812,-28.125
5325.07812,-31.3125
5345.07812,-34.390625
5365.07813,-35.8125
5385.07812,-35.671875
5405.07812,-35.859375
5425.07812,-37.484375
5445.07812,-39.5
5465.07812,-40.390625
5485.07812,-40.203125
5505.07813,-39.90625
5525.07812,-39.859375
5545.07812,-39.859375
5565.07812,-40.03125
5585.07812,-40.40625
5605.07813,-40.09375
5625.07812,-38.4375
5645.07812,-36.453125
5665.07812,-35.71875
5685.07812,-35.875
5705.07812,-35.078125
5725.07812,-32.734375
5745.07812,-30.125
5765.07812,-28.265625
5785.07812,-26.640625
5805.07812,-24.578125
5825.07812,-22.328125
5845.07812,-20.375
5865.07812,-18.5
5885.07812,-16.453125
5905.07812,-14.46875
5925.07812,-12.5625
5945.07812,-10.125
5965.07812,-6.953125
5985.07812,-4
6005.07812,-2.21875
6025.07812,-0.90625
6045.07812,1.40625
6065.07812,4.71875
6085.07812,7.671875
6105.07812,9.671875
6125.07812,11.46875
6145.07812,13.59375
6165.07812,15.625
6185.07812,17.421875
6205.07812,19.53125
6225.07812,21.84375
6245.07812,23.515625
6265.07812,24.515625
6285.07812,25.734375
6305.07812,27.171875
6325.07812,27.96875
6345.07812,28.359375
6365.07812,29.5
6385.07812,31.265625
6405.07812,32.265625
6425.07812,32.09375
6445.07812,31.875
6465.07812,32.09375
6485.07812,32.140625
6505.07812,31.875
6525.07812,31.9375
6545.07812,32.265625
6565.07812,32.109375
6585.07812,31.65625
6605.07812,31.921875
6625.07812,32.65625
6645.07812,32.234375
6665.07812,30.28125
6685.07812,28.46875
6705.07812,27.9375
6725.07812,27.828125
6745.07812,27.078125
6765.07812,26.234375
6785.07812,25.75
6805.07812,24.609375
6825.07812,22.28125
6845.07812,20.28125
6865.07812,19.921875
6885.07812,20.03125
6905.07812,18.84375
6925.07812,16.734375
6945.07812,15.109375
6965.07812,14.1875
6985.07812,13.28125
7005.07812,12.140625
7025.07812,10.671875
7045.07812,8.578125
7065.07812,6.203125
7085.07812,4.5
7105.07812,3.5
7125.07812,2.34375
7145.07812,0.96875
7165.07812,-0.015625
7185.07812,-1
7205.07812,-3.21875
7225.07812,-6.21875
7245.07812,-7.859375
7265.07812,-7.6875
7285.07812,-7.78125
7305.07812,-9.578125
7325.07812,-11.609375
7345.07812,-12.109375
7365.07812,-11.953125
7385.07812,-13.171875
7405.07812,-15.4375
7425.07812,-16.65625
7445.07812,-16.234375
7465.07812,-15.609375
7485.07812,-15.8125
7505.07812,-16.21875
7525.07813,-16.109375
7545.07812,-15.828125
7565.07812,-15.84375
7585.07813,-16.109375
7605.07812,-16.203125
7625.07812,-15.703125
7645.07812,-14.390625
7665.07812,-12.78125
7685.07812,-11.828125
7705.07812,-11.796875
7725.07813,-12.03125
7745.07812,-12.078125
7765.07812,-12.09375
7785.07812,-11.734375
7805.07812,-10.46875
7825.07812,-8.78125
7845.07812,-7.78125
7865.07813,-7.765625
7885.07812,-8.046875
7905.07812,-8.203125
7925.07813,-8.078125
7945.07812,-7.453125
7965.07812,-6.484375
7985.07812,-5.890625
8005.07813,-5.765625
8025.07812,-5.21875
8045.07812,-4.109375
8065.07813,-3.5
8085.07812,-3.890625
8105.07812,-4.328125
8125.07812,-4.046875
8145.07812,-3.6875
8165.07812,-3.921875
8185.07812,-4.265625
8205.07813,-4.0625
8225.07812,-3.640625
8245.07812,-3.78125
8265.07812,-4.609375
8285.07812,-5.53125
8305.07812,-6.078125
8325.07812,-6.15625
8345.07813,-6.015625
8365.07812,-5.890625
8385.07812,-5.890625
