TIME,CH1
5.48000000e-09,-3.12500000e-05
5.50000000e-09,-1.56250000e-05
5.52000000e-09,6.25000000e-05
5.54000000e-09,4.68750000e-05
5.56000000e-09,-1.56250000e-05
5.58000000e-09,-1.56250000e-05
5.60000000e-09,4.68750000e-05
5.62000000e-09,6.25000000e-05
5.64000000e-09,0.00000000e+00
5.66000000e-09,-4.68750000e-05
5.68000000e-09,4.68750000e-05
5.70000000e-09,1.25000000e-04
5.72000000e-09,1.56250000e-05
5.74000000e-09,-1.40625000e-04
5.76000000e-09,1.56250000e-05
5.78000000e-09,3.28125000e-04
5.80000000e-09,3.12500000e-05
5.82000000e-09,-1.06250000e-03
5.84000000e-09,-2.03125000e-03
5.86000000e-09,-2.09375000e-03
5.88000000e-09,-1.79687500e-03
5.90000000e-09,-2.29687500e-03
5.92000000e-09,-3.53125000e-03
5.94000000e-09,-4.32812500e-03
5.96000000e-09,-4.17187500e-03
5.98000000e-09,-3.78125000e-03
6.00000000e-09,-3.87500000e-03
6.02000000e-09,-4.10937500e-03
6.04000000e-09,-4.04687500e-03
6.06000000e-09,-3.87500000e-03
6.08000000e-09,-3.93750000e-03
6.10000000e-09,-4.06250000e-03
6.12000000e-09,-4.01562500e-03
6.14000000e-09,-3.90625000e-03
6.16000000e-09,-3.96875000e-03
6.18000000e-09,-4.04687500e-03
6.20000000e-09,-3.98437500e-03
6.22000000e-09,-3.92187500e-03
6.24000000e-09,-3.96875000e-03
6.26000000e-09,-4.04687500e-03
6.28000000e-09,-4.00000000e-03
6.30000000e-09,-3.90625000e-03
6.32000000e-09,-3.90625000e-03
6.34000000e-09,-4.07812500e-03
6.36000000e-09,-4.17187500e-03
6.38000000e-09,-3.68750000e-03
6.40000000e-09,-2.40625000e-03
6.42000000e-09,-8.43750000e-04
6.44000000e-09,1.71875000e-04
6.46000000e-09,3.28125000e-04
6.48000000e-09,-1.56250000e-05
6.50000000e-09,-3.75000000e-04
6.52000000e-09,-7.81250000e-05
6.54000000e-09,1.35937500e-03
6.56000000e-09,3.50000000e-03
6.58000000e-09,4.76562500e-03
6.60000000e-09,4.31250000e-03
6.62000000e-09,3.31250000e-03
6.64000000e-09,3.70312500e-03
6.66000000e-09,5.67187500e-03
6.68000000e-09,7.67187500e-03
6.70000000e-09,8.39062500e-03
6.72000000e-09,8.14062500e-03
6.74000000e-09,7.87500000e-03
6.76000000e-09,7.95312500e-03
6.78000000e-09,8.09375000e-03
6.80000000e-09,8.07812500e-03
6.82000000e-09,7.98437500e-03
6.84000000e-09,7.98437500e-03
6.86000000e-09,8.03125000e-03
6.88000000e-09,8.06250000e-03
6.90000000e-09,8.03125000e-03
6.92000000e-09,8.00000000e-03
6.94000000e-09,8.00000000e-03
6.96000000e-09,8.04687500e-03
6.98000000e-09,8.04687500e-03
